category,count
,5105183
"12,RealMatchBoost,",213784
Healthcare,198347
Nursing,190724
Heavy truck and lorry drivers,151155
Nationwide,77602
THERAPY,76350
null,72928
Nursing professionals,62213
Healthcare & Medical,59482
Other,58021
Social work and counselling professionals,49204
Fitness and recreation instructors and program leaders,28409
Psychologists,26834
Physiotherapists,25893
Secondary education teachers,18873
Social work associate professionals,17068
Real estate agents and property managers,15475
US,15010
Plumbers and pipe fitters,13169
413000,12629
Health professionals not elsewhere classified,12344
Audiologists and speech therapists,10881
"Car, taxi and van drivers",10555
Transportation,9635
Policy administration professionals,9143
"27,RealMatchBoost,",8908
Personnel and careers professionals,8268
Retail,8074
Dental assistants and therapists,7921
Engineering,7820
Chicago,7728
TA,7427
I.T. & Communications,7378
Freight handlers,7093
Construction,6953
Veterinarian,6881
Training and staff development professionals,6881
Health care assistants,6857
Direct Care,6797
Financial and insurance services branch managers,6705
Sales,6659
Food/hospitality,6355
Business services agents not elsewhere classified,6320
Company Driver,6211
Retail and wholesale trade managers,5847
536000,5657
Dentists,5562
Medical and dental prosthetic technicians,5535
Hospitals and Health Care,5212
Sales and marketing managers,5211
Environmental and occupational health inspectors and associates,5053
Legal,4996
Hospitality & Tourism,4955
"3,RealMatchBoost,",4836
Technical and medical sales professionals (excluding ICT),4767
Civil engineering technicians,4758
Social Services,4643
Clinical,4449
Health services managers,4246
Nursing - Professional,4241
Musical instrument makers and tuners,4136
Philadelphia,4110
412000,4038
Food Service,3989
Nursing Professionals,3936
Pre-press technicians,3638
Manufacturing managers,3590
Operations,3545
Security Officer Level,3479
"33,RealMatchBoost,",3463
Pharmaceutical,3306
Boston,3285
Domestic Help/Care,3285
Home-based personal care workers,3266
Medical secretaries,3249
Professional services managers not elsewhere classified,3232
Minneapolis,3197
Houston,3153
Manufacturing,3086
419000,3077
Enquiry clerks,3028
Detroit,3015
Dining Services,2997
Cincinnati,2985
Veterinary Technician,2981
Information and communications technology installers and servicers,2956
Nursing Support,2913
Hairdressers,2892
"Supply, distribution and related managers",2882
Trades & Services,2846
Medical assistants,2837
513000,2795
Earthmoving and related plant operators,2789
Veterinarians,2782
Sales & Marketing,2735
Accounting + Finance,2707
Teacher and Center Staff,2695
Environmental and occupational health and hygiene professionals,2659
Atlanta,2655
Business services and administration managers not elsewhere classified,2621
Underwater divers,2564
healthcare-practitioners,2520
"[""Flexible Staffing""]",2475
Owner Operator/IC,2469
Meter readers and vending-machine collectors,2462
Traditional and complementary medicine professionals,2434
Retail Stores,2420
Customer Service,2411
Welders and flamecutters,2324
291000,2315
Cleveland,2295
Miami,2280
Nursing Direct Patient Care,2264
Logistics & Warehousing,2214
NURSING-STAFF - MED/SURG INPATIENT,2180
Motor vehicle mechanics and repairers,2160
"Law Practice,Legal Services",2111
Electronics engineering technicians,2094
Environmental Services,2079
Veterinary technicians and assistants,2075
Health associate professionals not elsewhere classified,2046
Advertising and marketing professionals,2037
Education,2011
Customer Service & Sales,1986
Generic,1970
Personal care workers in health services not elsewhere classified,1964
NURSING-STAFF,1930
Aged care services managers,1917
advanced practice,1814
Baltimore,1785
Staffing and Recruiting,1766
Authors and related writers,1741
Allied Health,1734
435000,1730
Administrative and executive secretaries,1726
Vocational education teachers,1714
Commercial sales representatives,1695
Real Estate,1693
Industrial and production engineers,1677
Pittsburgh,1677
Teacher,1618
Specialist medical practitioners,1602
Kansas City,1593
Operations & Manufacturing,1551
Inland Empire,1548
Registered Nurse,1548
Shop sales assistants,1535
Midwifery professionals,1531
Milwaukee,1530
Imaging,1511
Retail & Consumer Products,1506
Sacramento,1500
Transport & Logistics,1467
Credit and loans officers,1467
Road Warrior,1463
Pharmaceutical technicians and assistants,1440
IT Services and IT Consulting,1439
Salt Lake City,1431
Virginia Beach,1426
Manufacturing Operations & Production,1425
Charlotte,1425
Dallas,1423
Electrical mechanics and fitters,1423
Administrative,1417
Driving instructors,1383
Patient Services,1367
General Dentistry - Dentistry,1366
Policy and planning managers,1347
Pharmacists,1318
Dental Hygienist,1316
353000,1305
